Rank,(All),,,,,,,,,,,,,,,,,,,,
No Handicap,(Multiple Items),,,,,,,,,,,,,,,,,,,,
Median Var,(All),,,,,,,,,,,,,,,,,,,,
Season,(All),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Values,,,,,,,,,,,,,,,,,,,,
Full Name,Count of Full Name,Min of Score,,,,,,Full Name,Count of Full Name,Min of Score,check,check,,,,,,,,,
Taj Easton,1,58,,,,,,SunRay Hawk,38,51,51,0,,,,,,,,,
Taylor Hines,2,60,,,,,,Matt Shustack,38,46,46,0,,,,,,,,,
Terri Appleton,8,82,,,,,,Nate Ringor,38,54,54,0,,,,,,,,,
Thai Joe Sirikittikul,4,73,,,,,,Blaise Panfalone,37,56,56,0,,,,,,,,,
Thomas Geren,1,73,,,,,,Will Gullickson,37,52,52,0,,,,,,,,,
Thorin Brentmar,1,67,,,,,,Dan Buck,37,52,52,0,,,,,,,,,
Tim Ittner,35,46,,,,,,Candace Romaine,37,53,53,0,,,,,,,,,
Tim McMahon,2,61,,,,,,Eric Stucker,36,48,48,0,,,,,,,,,
Tim Nightway,30,59,,,,,,Greg Randolph,36,52,52,0,,,,,,,,,
Todd Davidson,1,66,,,,,,Jeremy Krupp,36,56,56,0,,,,,,,,,
Todd Kurnat,341,44,,,,,,Oliver Uribe,36,54,54,0,,,,,,,,,
Tom Campbell,6,64,,,,,,Adam Viele,36,47,47,0,,,,,,,,,
Tom Fritzpatrick,4,76,,,,,,Arthur Soma,35,56,56,0,,,,,,,,,
Tom McCulla,5,59,,,,,,Chris Mergemekes,35,56,56,0,,,,,,,,,
Tom Rhodes,1,82,,,,,,Tim Ittner,35,46,46,0,,,,,,,,,
Tony Guerrero,21,54,,,,,,Pei-Chung Lu,35,80,80,0,,,,,,,,,
Trevor Duckworth,33,50,,,,,,Aaron Kirby,35,54,54,0,,,,,,,,,
Ty Gott,28,56,,,,,,Corey Kohler,35,58,58,0,,,,,,,,,
Wade Goodway,5,61,,,,,,Sabas Gonzalez,35,56,56,0,,,,,,,,,
Warren Sedar,258,49,,,,,,Chris Albright,34,51,51,0,,,,,,,,,
Whitney Glockner,1,85,,,,,,Kyle McCann,34,54,54,0,,,,,,,,,
Will Lavery,1,61,,,,,,Marc Samuel,34,56,56,0,,,,,,,,,
Will Orscher,2,68,,,,,,Matt Friesen,34,53,53,0,,,,,,,,,
Wilson Linker,14,49,,,,,,Val St Louis,34,64,64,0,,,,,,,,,
Zac Pape,15,52,,,,,,Joe Frediani,34,52,52,0,,,,,,,,,
Zach Zeneberg,1,67,,,,,,Chika Nii,33,48,48,0,,,,,,,,,
(blank),,,,,,,,Chris Sherwood,33,55,55,0,,,,,,,,,
Stick Williams,232,41,,,,,,Trevor Duckworth,33,50,50,0,,,,,,,,,
Derek Hoye,2,57,,,,,,JB Beernink,33,45,45,0,,,,,,,,,
Craig Scott,2,53,,,,,,Evan Scher,33,53,53,0,,,,,,,,,
Rob Sindelar,59,49,,,,,,Matt Galdin,33,53,53,0,,,,,,,,,
David Axmark,2,54,,,,,,Mike Gilman,33,60,60,0,,,,,,,,,
Dave Walker,8,56,,,,,,Michael Van Bebber,33,57,57,0,,,,,,,,,
Joe Kenny,9,60,,,,,,Krystal Ricks,33,64,64,0,,,,,,,,,
Mike Buerta,1,74,,,,,,Dale Gatlin,32,44,44,0,,,,,,,,,
Gregg Scott,11,48,,,,,,Dmitri Kononov,32,53,53,0,,,,,,,,,
Matt Smith,1,55,,,,,,Daniel Johengen,32,53,53,0,,,,,,,,,
Parry Wolfe,41,50,,,,,,George Kolcun,31,57,57,0,,,,,,,,,
Greg Allpow,3,52,,,,,,Peter Schaefer,31,49,49,0,,,,,,,,,
Thomas Elder,10,55,,,,,,Paul Bucari,31,51,51,0,,,,,,,,,
Mike Loftin,13,51,,,,,,Sarah Amaya,31,57,57,0,,,,,,,,,
Mike Spencer,3,55,,,,,,Justin Atchley,31,56,56,0,,,,,,,,,
