,course_id,cumgame_coeff,intercept,mse,n_value,nomatch,player,precip_coeff,prediction_score,wind_coeff
222,0,,63.0,,,,Anthony Jaussaud,,,
223,1,,58.0,,,,Anthony Jaussaud,,,
224,2,,,,,1.0,Anthony Jaussaud,,,
225,0,,,,,1.0,Matt Hansen,,,
226,1,0.0,59.166666666666664,5.290968709875305,6.0,,Matt Hansen,0.0,0.03312246926136575,0.17214010371705615
227,2,,61.0,,,,Matt Hansen,,,
228,0,,,,,1.0,Rob Singular,,,
229,1,,68.0,,,,Rob Singular,,,
230,2,,,,,1.0,Rob Singular,,,
231,0,,,,,1.0,Valerie ,,,
232,1,,69.0,,,,Valerie ,,,
233,2,,,,,1.0,Valerie ,,,
234,0,,,,,1.0,Greg Randolph,,,
235,1,,62.0,,,,Greg Randolph,,,
236,2,,59.5,,,,Greg Randolph,,,
237,0,,,,,1.0,Jason Cantero,,,
238,1,,54.0,,,,Jason Cantero,,,
239,2,,,,,1.0,Jason Cantero,,,
240,0,1.1161575800562964,54.0,14.845199926691441,12.0,,Shawn Mercy,0.2697760724409029,0.15170286133191768,0.4143654710311083
241,1,,58.5,,,,Shawn Mercy,,,
242,2,,,,,1.0,Shawn Mercy,,,
243,0,,,,,1.0,Stephen Willis,,,
244,1,,53.0,,,,Stephen Willis,,,
245,2,,,,,1.0,Stephen Willis,,,
246,0,,,,,1.0,Jesse Rudner,,,
247,1,,,,,1.0,Jesse Rudner,,,
248,2,,72.0,,,,Jesse Rudner,,,
249,0,,,,,1.0,Art Coddington,,,
250,1,,,,,1.0,Art Coddington,,,
251,2,,59.0,,,,Art Coddington,,,
252,0,-0.36856570173240044,58.142857142857146,14.75370320417328,14.0,,Daniel Charlip-Blumlein,-0.13747749744119875,0.14547109101124023,0.6279863957116424
253,1,,,,,1.0,Daniel Charlip-Blumlein,,,
254,2,,62.0,,,,Daniel Charlip-Blumlein,,,
255,0,,,,,1.0,Val St. Louis,,,
256,1,,63.0,,,,Val St. Louis,,,
257,2,-5.499177730252921,76.66666666666667,0.00028076377101341176,3.0,,Val St. Louis,0.0,0.9999925240416001,6.021369471568434
258,0,0.0,53.666666666666664,6.764952522818611,6.0,,Beau Griffin,1.0067471244051334,0.3591097609961317,0.0
259,1,,54.0,,,,Beau Griffin,,,
